Original Query,Analyzed Query
سيكرت,"['.', '[رابط]', '##ت', '+ة']"
ليدو,"['.', 'لي', 'رويترز', '+ة']"
بذر,"['.', '[رابط]', 'ال+']"
بزر,"['.', '[رابط]', 'ال+']"
بذور,"['[رابط]', '[رابط]', 'ال+']"
سميد,"['.', '[رابط]', 'ال+']"
سميد علبة,"['.', 'ال+', 'علب', '+ة', '+ة']"
حساسية,"['##ة', 'حساسي', '##ة', '.']"
حساسيه,"['كاريكاتير', 'حساسي', '+ة', '.']"
سنسوداين,"['.', 'سن', '+ة', '##ين', '+ة']"
سنسوداين معجون,"['.', 'سن', '##ت', '##ين', '[رابط]', '+ة']"
معجون سنسوداين,"['.', 'كاريكاتير', 'سن', '##ت', '##ين', '+ة']"
سيرافي,"['.', 'سير', '##اف', '##ي', '.']"
سيرب,"['.', 'داع', '##كيان', '##كيان']"
الصفاء,"['.', 'ال+', '##صف', '##اء', 'و+']"
سيروم,"['.', '[رابط]', '[رابط]', '+ة']"
سيرم,"['.', 'سير', '+ة', '+ة']"
سرور,"['ماهر', 'سرور', 'و+']"
سمسم,"['[رابط]', '[رابط]', 'ال+']"
سمسم حب,"['[رابط]', 'ال+', 'حب', 'ال+']"
زيت سمسم,"['.', 'زيت', 'سمسم', 'ال+']"
زيت السمسم,"['.', 'زيت', 'ال+', '##سم', '.', 'ال+']"
بستو,"['[رابط]', 'ب', '[UNK]', 'ال+']"
كيك سفن,"['.', 'ال+', 'سفن', '2004']"
سفن دايت,"['.', 'سفن', 'داي', '##ت', '+ة']"
سبع بهارات,"['.', 'سبع', 'بهار', '##ات', 'ال+']"
سفن اب,"['.', 'سفن', 'اب', 'ال+']"
سفن أب,"['.', 'سفن', 'أب', 'ال+']"
سكر شعبان,"['.', '[رابط]', 'شعبان', 'ال+']"
شعراوي,"['.', '[UNK]', '+ت']"
علكة شعراوي,"['.', 'علك', '+ة', '.', '+ة']"
شبس تاكيز,"['.', 'إح', '##س', 'تاكي', '##ز', '+ة']"
شبسات,"['.', 'أو', '##س', '+ة', 'صور']"
شبث,"['[رابط]', '[رابط]', '[رابط]', 'ال+']"
شبس تاكيس,"['.', 'شب', '##س', 'تاكي', '##س', '+ة']"
شيبي,"['.', '[رابط]', '+ت']"
شبيس,"['.', 'عن', '##س', 'ال+']"
شبسي,"['.', 'شب', '+ة', 'ال+']"
شابو,"['.', 'شاب', '##و', '+ة']"
شبزي,"['.', 'شب', '+ة', '+ة']"
شاهين,"['.', 'شاهين', '.']"
شهرزاد,"['[رابط]', '[رابط]', '+ة']"
شمبو,"['.', 'شم', '##ب', '##و', 'ال+']"
شامبو,"['[رابط]', '[رابط]', '+ة']"
شامبو وبلسم,"['.', '.', 'ال+', '##بلس', '##م', 'ال+']"
شامبو للاطفال,"['.', 'شامبو', 'ل+', 'ال+', 'أطفال', 'ال+']"
شامبو للشعر المصبوغ,"['.', 'شامبو', 'ل+', '##ل', '+ة', 'ال+', '##مص', '+ين', 'ال+']"
شامبو للشعر الدهني,"['+ة', 'شامبو', 'ل', '##ل', '+ة', 'ال+', '##د', '##هن', '##ي', 'ال+']"
شامبو ضد,"['.', 'ال+', 'ضد', 'ال+']"
شاني,"['.', 'شان', '##ي', '+ت']"
شنينة,"['##ة', 'شن', '##ين', '##ة', 'و+']"
كريم شانتى,"['.', '[UNK]', 'ساب', '+ت', '+ة']"
كريم شانتي,"['.', 'كريم', 'شان', '##ت', '+ي', '+ه']"
كيك شكلاته,"['.', '[UNK]', 'حال', 'ال+', 'ال+', 'و+']"
شابور,"['.', '[رابط]', 'ال+']"
كوسه,"['.', 'كوس', '+ه', 'و+']"
برايه,"['.', '+ه', '+ه', '+ه']"
فلفل شطه,"['.', 'فلفل', 'شط', '##ه', '+ة']"
مكينة حلاقة,"['.', 'مكين', '+ة', 'حلاق', '##ة', '+ة']"
مكينه حلاقه,"['.', 'م', '##ه', '##ل', '##ه', '+ة']"
مكينة حلاقه,"['.', 'مكين', '+ة', 'حلاق', '##ه', '+ة']"
ماكينة حلاقة,"['.', 'ماكين', '+ة', 'حلاق', '##ة', '+ة']"
حلاقه,"['.', 'حلاق', '##ه', '+ة']"
حلاقة,"['.', 'حلاق', '+ة', '+ة']"
شفرات حلاقة,"['.', 'شفر', 'ال+', 'حلاق', 'ال+', 'ال+']"
شفرات حلاقه,"['.', 'شفر', 'ال+', 'حلاق', 'ال+', 'ال+']"
جل حلاقة,"['.', 'ال+', 'حلاق', '##ة', '+ة']"
جل حلاقه,"['.', 'ال+', 'حلاق', '##ه', '+ة']"
شوارما,"['.', '[رابط]', '+ة', '+ة']"
شاورما,"['.', 'شاورما', '.']"
خبز شاورما,"['.', 'ال+', 'شاورما', '+ة']"
شاي احمد,"['.', 'شاي', '+ات', 'ال+']"
نجت,"['تشرين', '[رابط]', '+ت', '.']"
شبنت,"['.', 'شب', '+ة', '+ة', 'و+']"
الشيا,"['.', 'ال+', 'يوم', 'و+']"
شيا,"['.', 'شيا', '.']"
شيبا,"['[رابط]', '[رابط]', '[رابط]', '+ة']"
لحم غنم,"['.', 'لحم', 'غنم', 'ال+']"
لحم ضأن,"['.', 'لحم', '+ة', 'ال+']"
ورق,"['[رابط]', '[رابط]', 'ال+']"
شرشف,"['.', 'شرش', '.', '.']"
قشرة,"['.', 'قشر', 'ال+', 'و+']"
شبس البطل,"['.', 'شب', '##س', 'ال+', 'محامي', 'ال+']"
شربت,"['.', 'شرب', '##ت', '+ة']"
شيرين,"['[رابط]', '[رابط]', 'ال+']"
شيس,"['.', '[رابط]', '+ة']"
شيبس تاكيز,"['.', 'بول', 'تاكي', '[رابط]', '+ة']"
موز شيكيتا,"['.', 'موز', 'شيك', '+ات', '+ة']"
شيلس,"['[رابط]', '[رابط]', '+ة', 'ال+']"
شحن,"['.', '[رابط]', '+ة']"
سفن,"['[رابط]', '[رابط]', 'ال+']"
شيرة,"['.', 'شير', '+ة', 'و+']"
عصير شيرين,"['.', 'عصير', '[رابط]', '+ة']"
شيش برك,"['.', 'شيش', '+ة', '+ة']"
شيش طاوق,"['.', 'شيش', 'طاو', '##ق', '+ة']"
شيش طاووق دجاج,"['.', 'شيش', 'طاو', '##وق', 'دجاج', '+ة']"
شيشة,"['.', 'شيش', '+ة', 'ال+']"
فحم شيشه,"['.', 'ال+', 'شيش', 'ال+', 'ال+']"
فحم شيشة,"['.', 'ال+', 'شيش', 'ال+', 'ال+']"
شيشبرك,"['[رابط]', 'شيش', '[رابط]', '+ة']"
هردة,"['[رابط]', '[رابط]', '+ة', '+ة']"
شوكه,"['[رابط]', '[رابط]', '[رابط]', 'ال+']"
حذاء,"['.', 'حذاء', '.']"
شوت,"['.', '[رابط]', '##ت', '+ة']"
شوبا شوبس,"['.', 'شوب', '##ا', 'شوب', '##س', '+ة']"
شورب,"['.', '[رابط]', 'ال+']"
شاور,"['.', '10', 'و+']"
جل استحمام,"['.', 'ال+', '[UNK]', '+ة']"
سائل الاستحمام,"['.', 'سائل', 'ال+', '##اس', 'ال', '##ام', 'ال+']"
شاور جيل,"['.', 'حديث', '[رابط]', 'ال+']"
سائل استحمام,"['.', 'سائل', 'استحمام', '+ة']"
شاور جل,"['.', 'و+', 'جل', 'ال+']"
جل الاستحمام,"['.', 'و+', 'ال+', '##اس', 'ال', '##ام', 'ال+']"
صابون استحمام,"['.', 'صابون', '[UNK]', '+ة']"
خبز شراك,"['.', 'ال+', 'مشترك', 'ال+']"
جبن مبروش,"['.', 'ال+', 'مبر', '##وش', 'ال+']"
جبنة مبروشة,"['.', 'جبن', '+ة', 'مبر', '##وش', '+ة', '+ة']"
ربيان,"['[رابط]', '[رابط]', 'ال+']"
روبيان,"['.', 'روبي', '##ان', '.']"
جمبري,"['[رابط]', '[رابط]', 'ال+']"
شرمبي,"['.', '[رابط]', '+ة', 'ال+']"
شتوره,"['.', 'شتور', '##ه', '+ة']"
شدر,"['.', 'شد', '.', '.']"
شورما,"['.', 'شور', '+ة', 'كاريكاتير']"
بندول اخضر,"['.', 'ال+', '[رابط]', 'ال+']"
صيداوي,"['+ة', 'صيدا', '##و', '##ي', '+ة']"
سدر,"['[رابط]', '[رابط]', 'ال+']"
سييرا,"['.', '[رابط]', 'ال+']"
سيجنال,"['.', 'E', '##نا', '+ة', 'كاريكاتير']"
سنيوره,"['.', '[رابط]', '+ه', 'ال+']"
سليس,"['.', '[رابط]', '+ة']"
سيليكون,"['.', 'سنغافوري', '10']"
سيلك,"['.', '[رابط]', '+ة']"
فضة,"['.', 'فض', '+ة', '.']"
بارلمنت فضي,"['.', 'بار', '##لم', '##ن', 'ال+', '.', '+ة']"
سيميلاك,"['.', 'سيمي', '##لاك', '+ة']"
سيميلاك جولد,"['.', 'سيمي', '##لاك', 'جولد', '+ة']"
حليب سيميلاك,"['.', 'حليب', 'سيمي', '##لاك', 'ال+']"
سيميلاك توتال كمفورت,"['.', 'سيمي', '##لاك', 'توتال', 'ك', '##م', '.', '+ة']"
سيملاك,"['.', 'تشرين', '+ات', '+ة']"
حليب سيملاك,"['.', 'حليب', 'ال+', '##لاك', 'ال+']"
كرواسون ساده,"['.', 'كرواس', '##ون', 'ساد', 'ال+', 'ال+']"
كروسان ساده,"['.', 'بن', '##ان', 'ساد', '+ة', 'ال+']"
سنيورة,"['.', 'سنيور', '+ة', 'و+']"
سنيورة مرتديلا,"['.', 'سنيور', '##ة', 'ال+', 'ال+', 'ال+']"
مسلك بواليع,"['.', 'ال+', 'ب', '##وا', '##لي', '.', '+ت']"
سيويا,"['.', 'سيوي', '##ا', '.']"
سيراتشا,"['.', 'سير', 'ال+', '.', 'كاريكاتير']"
بيستو,"['.', 'بيس', '+ة', '##و', '+ة']"
ستار,"['[رابط]', '[رابط]', 'ال+']"
سيخ,"['.', '.', '+ة']"
اسياخ,"['.', 'مخاز', '##ود', '+ت']"
قشط,"['.', '[رابط]', '+ة']"
لبن خالي الدسم,"['.', 'ال+', '+ة', 'ال+', '##دس', '##م', 'ال+']"
روب خالي الدسم,"['.', 'ال+', 'في', 'ال+', '##دس', '##م', 'ال+']"
حليب منزوع الدسم,"['.', 'حليب', 'منزوع', 'ال+', 'عن', '##م', 'ال+']"
حليب خالي الدسم,"['.', 'حليب', 'خالي', 'ال+', '##دس', '##م', 'ال+']"
العنايه بالبشره,"['.', 'ال+', '##عن', '##ا', '##ي', '##ه', 'ب', '##ال', '##بشر', '##ه', 'ال+']"
غسول للبشرة,"['.', '[UNK]', 'ال+', '##ل', 'مر', 'ال+', 'ال+']"
سكينورين,"['.', 'سكين', '##وري', '##ن', 'ال+']"
سكيتلز,"['.', 'سكيت', '##ل', '##ز', 'فورد']"
سكيتلز حلوى,"['.', 'سكيت', '##ل', '##ز', ':', '+ة']"
سلايس,"['.', 'سل', '##ا', '.', 'سل']"
جبن سلايس,"['.', '[UNK]', 'سل', '##ا', '[رابط]', '+ة']"
جبن سلايز,"['.', 'جبن', 'سل', '+ة', 'ال+']"
جبن سليس,"['.', 'جبن', '+ة', 'ال+']"
لوز شرايح,"['.', 'غسان', 'شرا', '[رابط]', 'ال+']"
لوز شرائح,"['.', 'ال+', '+ات', 'ال+']"
زيتون أسود شرائح,"['.', 'زيتون', 'أسود', '.', '+ة']"
زيتون اسود شرائح,"['.', 'زيتون', 'ال+', '[رابط]', 'ال+']"
خبز شرائح,"['.', 'خبز', 'شرائح', 'ال+']"
جبن شرايح,"['.', 'ال+', 'شرا', '+ة', 'ال+']"
جبنة شرائح,"['.', 'جبن', '+ة', 'شرائح', 'ال+']"
جبن شرائح,"['.', 'ال+', 'شرائح', 'ال+']"
جبنه شرائح,"['.', 'جبن', '##ه', 'برازي', 'ال+']"
زيتون اخضر شرائح,"['.', 'زيتون', 'و+', '[رابط]', '+ة']"
زيتون أخضر شرائح,"['.', 'زيتون', 'أخضر', '[رابط]', 'ال+']"
لوزين شرائح,"['.', 'لوزي', '##ن', 'شرائح', '+ة']"
مشروم شرائح,"['.', '3', 'شرائح', 'ال+']"
زيتون شرايح,"['.', 'زيتون', 'شرا', '+ة', 'ال+']"
زيتون شرائح,"['.', '[رابط]', '[رابط]', '+ة']"
اناناس شرائح,"['.', 'انان', '##اس', '.', '+ة']"
فستق شرائح,"['.', 'ال+', 'شرائح', 'ال+']"
شرايح,"['.', 'نفس', '+ه', 'ال+']"
شرائح,"['.', 'شرائح', 'ال+']"
سلايدر,"['.', 'سلايد', '##ر', '.']"
سلايم,"['.', '[رابط]', 'ال+']"
شبشب,"['.', '+ه', '.']"
نعال,"['.', 'كاريكاتير', '.']"
كند,"['[رابط]', '[رابط]', 'ال+']"
خبز عربي صغير,"['.', 'خبز', 'عربي', 'صغير', 'ال+']"
خبز صغير,"['.', 'خبز', 'صغير', 'ال+']"
كيك صغير,"['.', 'كيك', 'صغير', 'ال+']"
كرواسون صغير,"['.', 'كرواس', '##ون', 'صغير', 'ال+']"
فلفل حار صغير,"['.', 'فلفل', 'حار', 'صغير', 'ال+']"
عصير صغير,"['.', 'عصير', 'صغير', 'ال+']"
سميلاك,"['.', '[رابط]', '[رابط]', '+ة']"
حليب سميلاك,"['.', 'حليب', 'سمي', '##لاك', '+ة']"
دخن,"['.', '[رابط]', 'ال+']"
دخان ld,"['[رابط]', '[UNK]', 'l', '##d', 'ال+']"
دجاج مدخن,"['.', 'دجاج', '+ة', 'ال+']"
سمك مدخن,"['.', 'سمك', '+ة', 'ال+']"
حب مدخن,"['.', 'حب', '+ة', '+ة']"
سلمون مدخن,"['.', 'سلم', '##ون', '+ي', 'ال+']"
حب شمسي مدخن,"['.', 'حب', '+ة', '+ة', '+ة']"
تركي مدخن,"['.', 'تركي', 'مدخن', 'ال+']"
ديك رومي مدخن,"['.', 'ديك', 'رومي', 'مدخن', 'ال+']"
رومي مدخن,"['.', 'ال+', '+ة', 'ال+']"
مدخن,"['.', '[رابط]', '+ة']"
دخان,"['.', '[رابط]', 'ال+']"
تدخين,"['.', '[رابط]', '+ة']"
تبغ سموكينج,"['.', 'ال+', 'سمو', 'ال+', 'و+']"
سنفره,"['[رابط]', 'سن', '+ة', '+ه', '+ة']"
شموط,"['رويترز', '[رابط]', 'ال+']"
سناك,"['.', 'سن', '##ا', '##ك', 'و+']"
سناك مكس,"['.', 'سن', 'ال+', '##ك', '[رابط]', '+ه']"
سناكات,"['.', 'سن', '.', '##ت', '.']"
سناكس,"['.', 'سن', '##اكس', '+ت']"
وجبات خفيفة,"['.', 'وجب', 'ال+', 'خفيف', 'ال+', 'و+']"
سنافي,"['داع', '[رابط]', '+ه']"
سنيكر,"['.', '[رابط]', '[رابط]', '+ة']"
سنيكرز,"['.', 'سني', 'ال+', 'ال+']"
سنيكرس,"['.', 'سني', '##كر', '[رابط]', 'ال+']"
سنكرز,"['.', 'سن', '+ين', '.']"
ايس كريم سنيكرز,"['.', 'ايس', 'كريم', 'سني', 'ال+', 'ال+']"
سنيبس,"['.', 'سني', '[رابط]', '+ة']"
ثلج,"['.', '[UNK]', 'ال+']"
فسدق,"['.', '[رابط]', '[رابط]', 'ال+']"
فتنس,"['.', 'فن', '.', '.']"
فأين,"['[رابط]', '[رابط]', '##ين', 'ال+']"
صابونة,"['[رابط]', '[رابط]', '[رابط]', '+ة']"
صابون غسيل,"['.', 'صابون', 'غسيل', '+ة']"
صابون,"['.', '[رابط]', '+ة']"
صابون تايد,"['.', 'صابون', '[رابط]', '+ة']"
صابون للملابس,"['.', 'صابون', 'ل+', '##لم', 'ال+', 'ال+']"
صابون سايل,"['.', 'صابون', '[رابط]', 'ال+']"
صابونه,"['##و', 'صابون', '+ه', '.']"
شوبا,"['.', 'شوب', '##ا', 'ال+']"
كره قدم,"['.', 'كر', 'ال+', 'قدم', 'كاريكاتير']"
كرة قدم,"['.', 'كر', 'ال+', 'قدم', '.']"
كرة القدم,"['.', 'كر', 'ال+', 'ال+', '##قدم', 'و+']"
جوارب,"['.', 'جوارب', '.']"
مشروب غازي,"['.', 'مشروب', 'غازي', '+ة']"
صودا,"['.', '[رابط]', 'ال+']"
سودا كريم,"['.', 'بيض', '##ا', 'كريم', 'ال+']"
صوديوم,"['.', '[رابط]', 'ال+']"
بيكربونات الصوديوم,"['.', 'بيكر', '##ب', '##ون', '##ات', 'ال+', 'كتر', '##ديوم', 'ال+']"
سودو كريم,"['.', 'بيض', '##و', 'كريم', 'ال+']"
سوفي,"['.', 'سوف', '+ي', '.']"
منعم,"['[رابط]', '[رابط]', 'ال+']"
لينة,"['.', 'لي', '+ة', '.', 'و+']"
سوفت,"['[رابط]', '[رابط]', '##ت', '+ة']"
سكر بني ناعم,"['.', 'سكر', 'بني', 'ناعم', 'ال+']"
كمون ناعم,"['[رابط]', 'مقال', 'ناعم', 'ال+']"
مشروبات غازية,"['.', 'مشروب', 'ال+', 'غازي', 'ال+', 'و+']"
مشروبات غازي,"['.', 'مشروب', '+ات', '.', '+ة']"
المشروبات الغازيه,"['.', 'ال+', '##مش', '##روب', '+ات', 'ال+', 'غازي', '##ه', 'و+']"
مشروبات غازيه,"['.', 'مشروب', 'ال+', 'غازي', 'ال+', 'و+']"
المشروبات الغازية,"['.', 'ال+', '##مش', '##روب', '+ات', 'ال+', 'غازي', '##ة', 'و+']"
لبنة طرية,"['.', 'لبن', '+ة', 'طري', '+ة', '+ة']"
سكر ناعم,"['.', 'سكر', 'ناعم', 'ال+']"
فرشاة أسنان ناعمة,"['.', 'فرشا', '+ة', 'أسنان', 'ناعم', '##ة', 'و+']"
سوهان,"['.', 'سو', '##ها', '##ن', '.']"
صحار,"['.', '[رابط]', 'ال+']"
شيبس صحار,"['.', '[UNK]', '+ة', '+ة']"
شبس صحار,"['.', 'شب', '+ة', '[رابط]', '+ة']"
زيت صحار,"['.', 'زيت', 'كاريكاتير', '+ة']"
بطاطس صحار,"['.', '[UNK]', '+ة', 'ال+']"
تراب,"['.', 'تراب', '.']"
حب شمسي,"['.', 'حب', '+ي', '.']"
محلول,"['.', '[رابط]', 'ال+']"
حلوي,"['[رابط]', '[رابط]', 'ال+']"
بن,"['[رابط]', '[رابط]', 'ال+']"
ابن,"['[رابط]', '[رابط]', 'ال+']"
ملطف,"['[رابط]', '[رابط]', '[رابط]', 'ال+']"
فصفص,"['.', 'فص', '##فص', 'ال+']"
التهاب الحلق,"['.', 'التهاب', 'ال+', 'تزلج', 'و+']"
مرموم,"['[رابط]', '[رابط]', 'ال+']"
بطاطا مفرزة,"['.', 'بطاطا', 'مفرز', '##ة', '+ة']"
شوربة,"['.', 'شورب', '+ة', 'ال+']"
شوربات,"['.', 'شورب', '+ة', 'ال+']"
حامض,"['.', '[رابط]', 'ال+']"
حامضه,"['.', '[رابط]', '[رابط]', '+ة']"
حامضة,"['.', '[رابط]', '[رابط]', '+ة']"
حلوى حامضه,"['.', 'حلوى', 'ال+', '+ة', '+ة']"
حلوى حامض,"['.', 'ال+', 'حامض', 'ال+']"
حلوى حامضة,"['.', 'حلوى', 'حامض', '##ة', '+ة']"
ساور كريم,"['.', 'ماهر', 'كريم', 'ال+']"
كريمه حامضة,"['.', 'كريم', '+ة', 'دمشقي', '##ة', '##ة']"
كريمة حامضه,"['.', 'كريم', '+ة', 'حامض', '##ه', '##و']"
كريمه حامضه,"['.', 'كريم', '##ه', 'حامض', '##ه', 'ال+']"
كريمة حامضة,"['.', 'كريم', '+ة', 'حامض', '##ة', 'و+']"
حلاوه حامضه,"['.', 'حلاو', '##ه', 'حامض', '##ه', '+ة']"
حلويات حامض,"['.', 'حلوي', 'ال+', '[رابط]', 'ال+']"
حلويات حامضه,"['.', 'حلوي', 'ال+', 'ال+', 'ال+', 'ال+']"
ساوردو,"['.', 'ساور', '##دو', '+ة']"
ليمون جنوب افريقي,"['.', 'فيلم', 'جنوب', 'افريقي', 'ال+']"
الصويا,"['.', 'ال+', 'تصوير', '##ا', '+ت']"
حليب صويا,"['.', 'حليب', 'صويا', 'ال+']"
حليب الصويا,"['.', 'حليب', 'ال+', 'أطفال', '##ا', 'ال+']"
صويا صوص,"['.', 'صويا', 'صوص', 'ال+']"
صلصه صويا,"['.', 'صلص', 'ال+', 'صويا', 'ال+']"
صوص الصويا,"['.', 'صوص', 'ال+', 'تصوير', '##ا', 'ال+']"
صلصة الصويا,"['.', 'صلص', '##ة', 'ال+', '##صوي', '##ا', 'و+']"
صوص صويا,"['.', 'صوص', 'صويا', 'ال+']"
صلصة صويا,"['.', 'صلص', 'ال+', 'صويا', 'ال+']"
صويا,"['.', 'صويا', '10']"
فول الصويا,"['.', 'فول', 'ال+', 'صور', '##ا', 'ال+']"
فضه,"['.', 'فض', '##ه', '+ه']"
مساحة,"['+ة', 'مساح', '+ة', '10']"
مساحه,"['[رابط]', 'مساح', '+ة', '+ة']"
فسيخ,"['.', 'فسيخ', '.']"
سبادا,"['.', 'سبا', '##د', '+ا', '.']"
سباغيتي,"['.', '[UNK]', 'ال+']"
سباغتي,"['.', 'سبا', '##غ', '##ت', '+ي', '.']"
اسباجيتي,"['.', 'اسب', 'كاتب', '##ت', '##ي', '+ة']"
سباجيتي,"['.', 'سبا', '##جيت', '.', '.']"
سباجتي,"['.', 'سبا', '##ج', '##ت', '##ي', '.']"
زيتون اسباني,"['.', 'زيتون', 'إسباني', '+ة']"
سبار,"['.', '[رابط]', 'ال+']"
فوار,"['[رابط]', '[رابط]', 'ال+']"
مياه فوارة,"['.', 'مياه', 'فوار', '+ة', '+ة']"
مياه فواره,"['.', 'مياه', 'ال+', '+ة', '+ة']"
ماء غازي,"['.', 'جورج', 'غازي', '+ة']"
بولو,"['.', 'كاريكاتير', '+ين']"
املا,"['.', '.', '.']"
متبل,"['.', 'فروج', '.']"
اطياب,"['[رابط]', '[رابط]', '[رابط]', 'ال+']"
البهارات,"['.', 'ال+', '##بهار', '+ات', 'و+']"
بهارات,"['[رابط]', 'مقال', '+ات', 'ال+']"
توابل,"['.', 'هوامش', 'ال+']"
التوابل,"['[رابط]', 'ال+', 'ف', '##ل', '+ة']"
بهارات حب,"['.', 'بهار', 'ال+', 'حب', 'ال+']"
سبايسي,"['.', 'سبايس', '##ي', '.']"
شيتوس شيبس حار,"['.', 'كاريكاتير', 'ال+', '[رابط]', '+ة']"
دجاج حار,"['.', 'دجاج', 'حار', 'ال+']"
نودلز الدجاج الحار,"['.', 'في', 'ال+', '##دج', '##اج', 'ال+', 'دمشقي', '+ة']"
شبس بطعم الحار,"['.', 'شب', '##س', 'بط', '##عم', 'ال+', '##حار', 'ال+']"
بطاطس حار,"['.', 'ال+', 'حار', '+ة']"
مايونيز حار,"['.', 'فلفل', 'حار', '+ة']"
نودلز حار,"['.', 'صيف', 'حار', 'ال+']"
زيتون حار,"['.', 'زيتون', 'حار', '+ة']"
سبانخ,"['.', '[رابط]', 'ال+']"
الغزال,"['.', 'ال+', '##غز', '##ال', 'و+']"
حب دوار,"['.', 'حب', '+ة', '+ة']"
بطاط حلزوني,"['.', '[رابط]', '+ون', 'ال+']"
تويرل,"['.', '[رابط]', '##ر', '[رابط]', 'ال+']"
سبلاش,"['[رابط]', '[رابط]', 'ال+']"
اسفنجه,"['.', '[رابط]', '+ة', '+ة']"
اسفنج,"['.', 'كاريكاتير', '.']"
اسفنجة,"['.', 'صور', '+ة', '+ة']"
ملعقة,"['.', 'ملعق', 'ال+', 'ال+']"
ملعقه,"['.', 'ملعق', '##ه', '+ة']"
ملاعق,"['.', '[رابط]', 'ال+']"
معالق,"['.', 'مع', 'ال+', '##ق', 'ال+']"
سبراي,"['.', 'سبر', '##ا', '+ي', '.']"
سبريه,"['.', 'سبر', '##ي', '+ه', '+ه']"
رذاذ,"['.', '[رابط]', '+ة']"
رشاش,"['.', 'رشاش', 'ال+']"
كريمة بخاخ,"['.', 'كريم', '+ة', '.', 'و+']"
زيت رش,"['+ة', 'زيت', 'رش', '+ة']"
زيت بخاخ,"['.', 'زيت', 'طيار', '+ة']"
معقم بخاخ,"['.', 'مع', '##قم', '+ة', '+ة']"
بخاخ,"['.', '[رابط]', '+ة']"
ربيع,"['.', 'ربيع', '+ة']"
بهار,"['[رابط]', '[رابط]', 'ال+']"
الربيع عصير,"['.', 'ال+', 'ناب', 'ال+', '+ة', 'و+']"
عصير الربيع,"['.', 'عصير', 'ال+', 'تي', '##ع', 'ال+']"
سبرينغ رول,"['.', 'سبرينغ', 'رول', 'ال+']"
سبرنج رول,"['.', 'سبرنج', 'رول', 'ال+']"
شاي الربيع,"['.', 'شاي', 'ال+', 'م', '##ع', 'ال+']"
سبرنكلز,"['.', 'سبر', '##نك', '##ل', '.', '.']"
سبرينكلز,"['.', 'سبر', '##ين', '##كل', '##ز', '.']"
سبرايت,"['.', 'سبر', '##ا', '##ي', '+ة', ':']"
صنوبر,"['.', '[UNK]', 'ال+']"
سبري,"['.', 'سبر', '+ي', '+ت']"
جبن مربع,"['.', 'ال+', '+ة', 'ال+']"
جبن مربعات,"['.', 'جبن', 'ب', '##ات', 'ال+']"
يقطين,"['.', 'كاريكاتير', 'و+']"
حبار,"['.', '[رابط]', 'ال+']"
سريلاك,"['.', 'سفير', '+ة', '+ة']"
ايس تي,"['.', 'يو', 'تي', 'ال+']"
سانت بيير,"['.', 'سانت', 'بيير', 'ال+']"
ستافيل,"['.', 'ميترو', '##ي', '##ل', '##كيان']"
ستيج,"['[رابط]', '[رابط]', 'ال+']"
مزيل البقع,"['.', '[UNK]', 'ال+', 'م', '##ع', 'ال+']"
مزيل بقع,"['.', 'ال+', '+ات', 'ال+']"
ستاند,"['.', '[رابط]', 'ال+']"
دباسة,"['.', 'دباس', '+ة', '.']"
ستار كولا,"['.', '[رابط]', 'كولا', '+ة']"
ستاربكس,"['.', 'ستار', '##بكس', '+ة']"
ستار بكس,"['.', 'ستار', 'بك', '##س', 'ال+']"
ستاربكس قهوة,"['.', 'ستار', '##بكس', 'قهو', '+ة', 'ال+']"
قهوة ستاربكس,"['.', 'قهو', 'ال+', 'ستار', '##بكس', 'كاريكاتير']"
نشأ,"['[رابط]', '[رابط]', 'ال+']"
نجوم,"['[رابط]', 'نجوم', 'ال+']"
قرطاسيه,"['[رابط]', '[رابط]', '+ة', '##ه', '+ة']"
قرطاسية,"['.', 'قرطاس', '+ة', '##ة', 'و+']"
ستيك,"['[رابط]', '[رابط]', 'ال+']"
لحم ستيك,"['.', 'لحم', '+ة', '+ة']"
بخار,"['+ة', 'بخار', '.']"
جهاز بخار,"['.', 'كاريكاتير', '[رابط]', '+ة']"
مناديل معقمة,"['.', 'مناديل', 'مع', '##قم', '+ة', 'و+']"
بخاخ معقم,"['.', 'بخاخ', 'مع', '##قم', '+ة']"
ستيفيا,"['.', '[رابط]', '##ي', '+ا', 'ال+']"
استيفيا,"['.', 'تيت', 'ال+', '##ا', 'كاريكاتير']"
سكر ستيفيا,"['.', '[UNK]', 'ستيف', '##ي', '[رابط]', '+ة']"
سكر استيفيا,"['.', 'عدنان', '##ال', 'ال+', '##ا', 'كاريكاتير']"
ستيفيانا,"['.', 'ستيف', '+ي', '##ان', '[رابط]', 'ال+']"
ستيفيانا محلي,"['.', 'ستيف', '##ي', '##ان', 'ال+', 'محلي', '##ا']"
لزقات,"['[رابط]', 'تحقيق', '+ات', 'ال+']"
أعواد,"['.', '[رابط]', '##وا', '##د', 'ال+']"
اعواد,"['[رابط]', '[رابط]', '[رابط]', '+ة']"
عصي,"['.', '[رابط]', 'ال+']"
لزقه,"['[رابط]', 'كاريكاتير', '+ه', 'كاريكاتير']"
لزقة,"['كاريكاتير', 'كاريكاتير', 'كاريكاتير', 'كاريكاتير']"
لصق,"['.', '[رابط]', '+ة']"
مكعبات مرقة,"['.', 'مكعب', '+ات', 'مرق', '+ة', 'و+']"
المعدة,"['.', 'ال+', '##مع', '##د', '+ة', 'و+']"
تخزين,"['+ة', 'تخزين', '.']"
